x,y,prediction
48.884552,51.04857,7
45.3658,54.985317,7
102.07937,-67.27479,69
-63.79857,53.759396,76
48.853657,57.83353,7
-26.045618,78.65287,77
89.74624,26.778097,-1
-31.808142,106.33289,-1
-88.60915,-19.460365,86
90.75243,-81.06212,78
116.54602,37.267136,79
-39.54832,-82.894585,23
-43.411236,-121.730385,31
-84.387085,-26.232655,-1
-63.405746,-43.77606,35
-47.46047,-118.07683,31
15.495072,-65.33989,-1
-22.401106,-91.836716,-1
-48.665558,98.72259,43
97.95167,-17.353432,80
-29.430819,59.181164,18
-23.55581,-77.24804,48
57.263016,115.87088,81
47.06335,-58.232014,82
47.217308,54.811172,7
70.65866,-49.596607,83
-0.32692444,-30.058342,-1
-25.525743,5.3713193,84
103.04402,-3.8378212,85
65.80763,-68.122375,-1
-125.16684,-29.926188,62
-77.89709,-35.770687,-1
-14.683645,51.13147,-1
83.16847,14.622309,-1
51.348705,56.367023,7
50.49328,53.14727,7
51.047703,-34.94516,-1
51.87543,53.518463,7
-91.62706,-16.921787,86
11.80893,0.11737982,39
-108.28257,-34.186527,101
-30.059486,-26.591406,87
67.42372,-3.4058952,-1
-9.5070095,-23.569271,-1
-75.71914,-22.704565,45
-26.683298,36.927498,27
86.495636,-68.92038,-1
-88.22129,-80.17858,88
50.02748,54.17475,7
-38.713417,-21.741144,-1
46.25022,52.248528,7
112.50335,42.672024,36
69.98855,-52.540997,83
-21.613073,-102.27463,63
-47.44103,-71.463524,-1
32.573593,99.52304,37
46.957664,57.338062,7
-31.819382,106.33904,-1
49.96563,55.083385,7
-64.43445,-47.10464,35
-79.76097,85.01957,70
12.210568,-75.65188,89
45.23929,-86.49225,90
87.11893,-4.483945,91
-76.290535,18.057508,-1
38.771767,100.858696,37
-14.227036,21.871622,26
86.79318,-1.9161841,91
56.253864,11.599216,61
10.303366,0.7110482,39
-31.02967,-49.862362,-1
72.93768,16.543415,49
82.87664,-37.537045,58
41.309444,-37.783524,92
-32.842144,-28.26992,87
50.908447,53.996613,7
