x,y
-96.76389,50.091667
91.311516,-95.43729
-78.14756,43.061787
-22.942852,-23.658958
-132.59103,-3.8295147
-51.073307,33.06822
-102.322426,70.62186
-113.07018,-58.898148
-23.567564,19.767801
-20.912767,-18.468328
-23.46182,-68.563515
-5.880268,-4.326558
64.60812,67.558044
11.10151,-42.403008
-73.280426,72.10323
-148.30997,-29.370438
-97.16917,48.770535
103.85454,83.89426
-121.990776,-77.7827
-54.73386,9.174912
-36.00596,31.747768
65.83483,57.366608
76.88483,-12.537561
64.57977,-78.27864
-42.04242,-45.413486
61.56669,-25.47631
77.30314,-121.321266
45.999752,-62.533165
98.25564,96.372536
-2.9618373,-122.62165
-31.736124,-119.33971
74.18312,62.926662
-35.041477,107.826485
-4.378163,-125.66808
113.10031,50.170784
-51.60789,32.97706
9.414171,-21.656414
-8.042824,11.312737
-48.913486,52.034878
-50.062466,-41.159954
-124.68383,-38.08853
43.510155,-47.855194
104.79763,82.88588
17.450027,17.004686
96.365425,24.58473
-35.275692,69.58774
-53.396675,-40.576763
50.232014,119.74258
-104.38826,94.97539
-47.8035,75.07972
-20.989052,-81.83515
-36.2182,42.149086
-92.75889,3.6982284
-59.62283,83.65343
-59.19313,12.96626
0.42938817,-137.42744
5.6688113,-8.192388
-46.30793,20.785727
-2.6726112,-60.172215
-28.653236,-9.255546
75.503815,-110.40242
80.1111,-50.36282
-5.5281377,-90.71412
-7.3587317,17.642723
-67.48768,-114.79141
52.569332,-77.242004
-6.961856,-104.568665
33.177692,-92.50274
-4.2841525,6.891782
79.13074,-114.81785
-105.80806,16.230322
48.08611,134.75143
-98.48687,-19.280699
42.484768,-36.073406
128.9635,-11.70444
-8.489451,35.71124
115.56825,80.58589
-37.50975,136.37506
80.01154,10.681503
21.517288,-71.16532
-110.94076,67.29979
-60.310677,66.315384
58.618824,77.28061
-95.57682,-18.09357
58.39953,-5.2055492
74.012375,-117.7119
-99.44389,-43.851055
87.38247,-16.95429
64.60785,67.55742
-73.81578,84.01221
-102.553,27.639946
-87.52645,-13.256144
-59.042255,23.291334
110.16715,43.601017
92.698875,98.32056
96.06911,19.101862
-95.0583,39.899513
-89.5496,17.120155
-60.02302,67.57583
47.80831,74.1773
-15.751384,-58.773426
115.40445,79.855125
79.60582,-68.33095
-129.6005,-25.451128
53.771263,-115.0912
-2.1493466,128.54286
-45.67654,-32.138718
25.776306,-6.810522
4.443189,-49.72758
101.55137,18.866592
54.5824,-9.407582
136.04535,37.866028
-20.618376,52.83378
104.361145,82.08988
-120.03329,-77.994545
-14.333289,53.821953
5.364695,43.907806
-92.95105,-78.941696
-65.23714,26.560122
-42.011215,-62.372047
-150.10141,-27.85666
9.807308,-50.41119
45.68655,136.58429
36.123035,-88.00861
-100.592995,61.246033
-71.74539,-26.788729
-78.905235,3.216294
-31.999273,-8.024268
-130.32545,33.836166
110.427216,30.255999
-111.08092,-31.138563
103.44878,-58.51563
-2.9230072,-122.58425
64.67063,-115.9616
-37.39943,136.20995
-100.51766,-31.433672
81.32318,-1.2995806
-12.844295,130.45248
-98.85948,-14.93391
10.542525,-20.89694
67.49788,-66.443855
45.29055,59.68969
-63.208595,-82.03301
-14.333931,53.822903
70.993286,-120.058876
-51.535004,-43.413803
-0.0061872993,13.477503
-17.997402,76.25034
136.25432,-2.585154
-104.18866,59.80501
-43.361317,103.06179
91.34905,-117.80277
-117.394455,41.375397
-57.680054,46.86619
111.02355,54.22792
-2.0627873,-127.378555
73.64791,115.52243
-110.12696,69.13263
53.56818,24.695147
137.29982,39.237503
32.173252,36.931477
-121.99363,-15.959984
67.8378,57.80291
55.86464,-123.28904
87.39105,-18.334263
146.77312,-5.9134355
-28.167706,69.87559
27.389477,87.50679
-132.8083,-60.541573
12.490391,115.55729
-41.573135,125.107544
69.549805,-52.265774
10.781773,100.16376
-81.42131,94.18644
10.942502,0.056327533
92.49324,99.14084
66.330246,-24.542994
-46.442234,-7.8864155
27.28778,22.646646
39.558132,122.95589
8.403334,-61.35936
-10.878499,-41.009483
-67.00206,8.623514
-43.842445,75.61153
-40.324036,-117.00253
43.564697,-41.60398
81.34667,-79.591484
-15.224242,-32.096233
101.027626,-27.991234
-28.450727,-101.305954
-54.97099,-114.72073
-87.48041,-80.586914
-6.7066836,79.5194
12.591689,-75.281296
-47.248013,-17.963562
36.238697,-69.858826
77.7578,-103.28082
-111.75054,-13.690804
-123.59661,-45.695507
49.04722,-99.05913
122.05011,-25.11637
-10.137303,-56.049793
-45.45771,69.66157
90.32642,-116.14426
31.322273,36.83565
55.66462,78.27538
57.54017,65.17246
-26.64034,-86.80664
68.116455,-8.150662
-130.98659,33.79158
-8.6197195,86.59271
-98.20357,-75.22348
39.405228,-2.802074
-90.70937,38.900112
-67.511406,38.910484
-43.756767,133.68347
-1.6744667,133.09618
95.55786,15.042396
-42.51378,24.588915
96.341606,-59.984543
72.58893,-115.99208
-68.9893,-53.308086
-11.642014,-94.13666
45.965397,43.072067
15.448619,92.04592
-7.3706584,-103.87539
-49.90703,-93.466354
-57.360676,-94.862045
-92.10586,-40.96603
12.481565,96.179535
24.08036,-4.9877763
65.22057,-119.96433
-51.73746,-12.040892
26.16301,91.31256
-7.738526,133.68825
-33.06887,89.23304
-93.60193,-57.836895
86.6589,-122.367966
105.574165,-48.484802
-70.38487,-65.49692
105.051315,-56.042618
-92.13917,26.618721
-115.745636,37.183846
-133.97285,-49.166092
85.84796,-0.91314435
-37.477276,-77.069
94.06048,-50.10882
-76.15582,-1.9122791
-37.51464,141.70955
63.85056,126.39504
-14.831845,85.090546
76.02316,-12.13943
82.68122,4.504212
-9.78788,73.97778
66.65933,81.517815
79.4776,-68.19961
-54.15388,-95.37997
-67.50759,-44.486538
-39.249985,138.60663
54.58236,-9.407461
-13.124897,85.93493
-132.17068,32.132034
-110.31667,-30.806767
-8.617596,-59.249752
7.6346836,11.154794
-121.18269,-49.96803
-66.680695,-58.525234
-31.514694,113.1852
112.3675,81.16972
-113.6361,-32.792416
-4.659055,-91.347015
48.090572,-98.93649
68.84525,-23.356997
-49.543297,-76.098595
-132.20984,-52.89997
-44.51856,102.566574
-97.79859,-12.445487
-89.05408,-26.917976
108.65128,20.987936
-6.3435097,-22.256351
-135.66391,-41.125862
9.001158,-79.730255
62.160595,35.77127
53.073593,77.98348
33.822968,-56.530277
137.07164,30.573664
67.617485,23.643885
84.59093,61.618553
64.867,-117.01969
-43.42137,24.639324
-108.19298,56.852882
-40.61787,11.609285
-73.167175,-67.40859
24.628164,61.167835
69.424126,-23.362337
-2.7956812,-49.569202
-45.10879,74.65357
60.47383,73.46441
-43.467926,135.29318
28.696468,-33.58788
-66.782196,-115.27756
-64.0234,115.95285
-108.42511,-24.333147
-57.361313,-94.86228
-74.7983,-7.027989
-114.27218,43.502346
-60.08188,84.52054
-64.91817,22.72413
-65.24084,-15.539657
71.35266,1.1794193
-82.67559,-34.341587
-14.901759,16.001118
-96.19807,-96.5649
118.515625,-66.97728
-54.306065,40.70474
98.8305,42.32942
-34.409927,143.28227
51.65771,53.18494
54.331017,70.781296
-85.71203,-46.898495
-49.04999,74.661224
129.65959,2.786472
-21.965302,-80.383766
24.266825,50.249817
-13.777208,86.354774
-91.57979,-36.566772
136.48358,37.16754
-37.066692,-67.68675
27.641466,21.23217
-26.075294,22.606422
-39.258976,-108.53771
0.1664649,-97.05316
-70.42158,-41.838894
-67.30998,-63.100716
-45.490154,132.37213
68.038475,82.02291
139.62527,39.287243
65.01808,8.06627
-15.693928,-10.998221
-73.50209,-67.5137
86.043495,71.15639
34.01102,68.73756
-29.850822,-39.805126
-63.167877,-15.73312
-88.45154,61.553883
-37.69519,135.22232
7.877546,11.516629
58.392494,-3.857088
-58.60456,-30.598309
-47.383736,-120.14891
50.87489,-117.65742
-115.85148,-42.718784
40.72174,-84.27556
7.0429177,-138.20709
76.50629,110.18992
94.07414,-50.0903
69.65486,58.2288
-31.443104,55.57344
-34.23863,0.6573397
138.21085,-7.353911
-35.394115,42.724518
-6.851849,13.791995
-137.50745,-32.426785
-36.579597,-11.165999
-18.618986,-81.99044
32.59462,21.986994
-90.78001,-9.42686
-98.582054,92.281235
127.09448,4.1501584
35.296364,0.47501633
69.258026,-7.634724
90.76082,-66.70332
-31.16251,-107.36181
-18.642597,20.105108
80.02963,10.177847
-85.19781,-89.78523
-8.610148,-4.8457217
126.2719,-23.016527
-14.772523,-32.359188
-47.64591,109.223595
-108.21268,-23.265942
-0.30613586,-56.178066
43.343815,111.05221
-82.36308,95.21668
78.87156,72.88455
73.80312,15.398672
5.629673,-67.90784
-34.51554,-14.310047
12.33859,93.58963
-5.4146314,-56.105183
-64.21123,116.38953
92.24981,1.5028989
-72.8683,-40.1418
7.475506,47.069042
-64.217865,-83.42754
26.35464,70.56336
-0.23327641,142.86192
67.72845,79.38353
-52.030273,-42.373993
-120.03273,-71.44957
56.94799,-17.79138
-114.12803,43.29019
-75.25498,82.102936
-99.293076,73.643196
-7.242541,-105.718765
-25.186052,23.879128
68.555954,-114.6035
26.230785,90.036354
96.34336,-10.898467
99.89481,-1.706784
